"IdNormativaRef";"IdNorActual";"IdNorAnterior";"TipoRef"
1048;1351;1162;3
1049;1351;1172;3
1050;1351;1173;3
1051;1351;1187;3
1052;1351;1289;3
1053;1351;1339;3
1054;1351;1348;3
1055;1357;1191;2
1056;1357;1241;2
1057;1357;1280;2
1058;1357;1298;2
1059;1357;1336;2
1060;1357;1337;1
1066;1358;1191;3
1067;1358;1241;3
1068;1358;1280;3
1069;1358;1298;3
1070;1358;1336;3
1071;1358;1357;3
1072;1359;1192;2
1073;1359;1243;2
1074;1359;1346;2
1075;1359;1347;1
1076;1360;1192;3
1077;1360;1243;3
1078;1360;1346;3
1079;1360;1359;3
1080;1036;556;2
1081;1246;556;2
1082;1246;1036;2
1083;1243;1246;6
1084;218;109;1
1085;218;182;1
1086;1198;1062;2
1087;1361;1062;2
1088;1361;1198;2
1089;1362;1062;1
1090;1363;1015;2
1091;1364;1015;3
1092;1364;1363;3
1093;1365;1162;1
1094;1365;1172;2
1095;1365;1173;2
1096;1365;1187;2
1097;1365;1289;2
1098;1365;1339;2
1099;1365;1348;2
1107;1365;1351;1
1108;1366;1365;5
1109;1369;1192;2
1110;1369;1243;2
1111;1369;1346;2
1112;1369;1359;2
1113;1369;1360;1
1114;1370;1192;3
1115;1370;1243;3
1116;1370;1346;3
1117;1370;1359;3
1118;1370;1369;3
1120;1373;1354;6
1121;1375;371;1
1122;1375;598;1
1123;1375;634;1
1124;1375;832;1
1125;1375;857;1
1126;1375;1252;1
1127;1375;1253;1
1128;1377;1296;2
1129;1377;1297;2
1130;1377;1314;2
1131;1377;1315;2
1132;1378;1296;3
1133;1378;1314;3
1134;1378;1377;3
1135;1379;1297;3
1136;1379;1315;3
1137;1379;1377;3
1138;1383;1324;1
1139;1384;1162;2
1140;1384;1172;2
1141;1384;1173;2
1142;1384;1187;2
1143;1384;1289;2
1144;1384;1339;2
1145;1384;1348;2
1146;1384;1365;2
1147;1384;1366;2
1148;1387;1354;5
1149;1389;1192;2
1150;1389;1243;2
1151;1389;1346;2
1152;1389;1359;2
1153;1389;1369;2
1154;1389;1370;1
1155;1244;853;1
1156;1390;1244;2
1157;1391;1192;3
1158;1391;1243;3
1159;1391;1346;3
1160;1391;1359;3
1161;1391;1369;3
1162;1391;1389;3
1163;1392;1244;3
1164;1392;1390;3
1165;1396;1210;6
1166;1397;1210;6
1167;1398;1276;5
1168;1399;1372;5
1169;1372;1276;6
1170;1372;1371;6
1171;1401;1245;2
1172;1402;982;2
1173;1402;1073;2
1174;1402;1137;2
1175;1402;1287;2
1176;1403;982;3
1177;1403;1073;3
1178;1403;1137;3
1179;1403;1287;3
1180;1403;1402;3
1181;1404;986;2
1182;1405;986;3
1183;1405;1404;3
1184;1406;1191;2
1185;1406;1241;2
1186;1406;1280;2
1187;1406;1298;2
1188;1406;1336;2
1189;1406;1357;2
1190;1406;1358;1
1191;1407;1191;3
1192;1407;1241;3
1193;1407;1280;3
1194;1407;1298;3
1195;1407;1336;3
1196;1407;1357;3
1197;1407;1406;3
1198;1408;1192;2
1199;1408;1243;2
1200;1408;1346;2
1201;1408;1359;2
1202;1408;1369;2
1203;1408;1389;2
1204;1408;1391;1
1205;1409;1192;3
1206;1409;1243;3
1207;1409;1346;3
1208;1409;1359;3
1209;1409;1369;3
1210;1409;1389;3
1211;1409;1408;3
1212;1412;21;2
1213;1412;1110;2
1214;1412;1111;1
1215;1413;21;3
1216;1413;1110;3
1218;1413;1412;3
1219;1415;1245;2
1220;1415;1401;2
1221;1418;673;1
1222;1418;1272;1
1223;1419;260;2
1224;1419;306;2
1225;1419;521;2
1226;1419;627;2
1227;1420;260;3
1228;1420;306;3
1229;1420;521;3
1230;1420;627;3
1231;1420;1419;3
1232;1422;747;1
1233;1422;810;1
1235;1422;1205;1
1236;1422;1228;1
1238;1422;1326;1
1239;1423;1191;2
1240;1423;1241;2
1241;1423;1280;2
1242;1423;1298;2
1243;1423;1336;2
1244;1423;1357;2
1245;1423;1406;2
1246;1423;1407;1
1247;1424;1191;3
1248;1424;1241;3
1249;1424;1280;3
1250;1424;1298;3
1251;1424;1336;3
1252;1424;1357;3
1253;1424;1406;3
1254;1424;1423;3
1255;1425;1192;2
1256;1425;1243;2
1257;1425;1346;2
1258;1425;1359;2
1259;1425;1369;2
1260;1425;1389;2
1261;1425;1408;2
1262;1425;1409;1
1263;1426;1107;1
1264;1427;1192;2
1265;1427;1243;2
1266;1427;1346;2
1267;1427;1359;2
1268;1427;1369;2
1269;1427;1389;2
1270;1427;1408;2
1271;1427;1425;2
1272;1428;982;2
1273;1428;1073;2
1274;1428;1137;2
1275;1428;1287;2
1276;1428;1402;2
1277;1428;1403;1
1278;1429;982;3
1279;1429;1073;3
1280;1429;1137;3
1281;1429;1287;3
1282;1429;1402;3
1284;1429;1428;3
1285;1430;734;2
1286;1431;1273;2
1287;1431;1317;2
1288;1431;1334;2
1289;1431;1335;1
1290;1432;1273;2
1291;1432;1317;2
1292;1432;1334;2
1293;1432;1431;2
1294;1434;1268;1
1295;1128;1045;1
1296;1435;734;3
1297;1435;1430;3
1298;1438;1251;2
1299;1439;1251;3
